id,key,value,type
12200241,county,"Honolulu, HI",tiger
12200241,source,tiger_import_dch_v0.6_20070809,tiger
12200241,reviewed,no,tiger
12200241,separated,no,tiger
12200241,upload_uuid,bulk_upload.pl-fd7bfe10-7a28-44e7-b196-d2b35d899d00,tiger
12200268,access,private,regular
12200268,highway,service,regular
12200268,service,driveway,regular
12200268,cfcc,A41,tiger
12200268,county,"Honolulu, HI",tiger
12200268,reviewed,no,tiger
12200278,oneway,yes,regular
12200278,highway,motorway_link,regular
12200278,cfcc,A63,tiger
12200278,county,"Honolulu, HI",tiger
12200278,reviewed,no,tiger
12200297,access,private,regular
12200297,highway,service,regular
12200297,cfcc,A41,tiger
12200297,county,"Honolulu, HI",tiger
12200297,reviewed,no,tiger
12200333,access,private,regular
12200333,highway,service,regular
12200333,service,parking_aisle,regular
12200351,access,private,regular
12200351,highway,track,regular
12200351,cfcc,A41,tiger
12200351,county,"Honolulu, HI",tiger
12200351,tracktype,grade2,regular
12200368,access,private,regular
12200368,highway,service,regular
12200368,service,driveway,regular
12200368,cfcc,A41,tiger
12200368,county,"Honolulu, HI",tiger
12200368,reviewed,no,tiger
12200404,access,private,regular
12200404,highway,service,regular
12200404,service,driveway,regular
12200427,highway,living_street,regular
12200458,highway,residential,regular
12200458,name,Neal Avenue,regular
12200494,access,private,regular
12200494,highway,service,regular
12200494,service,driveway,regular
12200494,cfcc,A41,tiger
12200494,county,"Honolulu, HI",tiger
12200545,access,private,regular
12200545,highway,service,regular
12200545,service,driveway,regular
12200545,cfcc,A41,tiger
12200545,county,"Honolulu, HI",tiger
12200545,reviewed,no,tiger
12200562,highway,residential,regular
12200562,cfcc,A41,tiger
12200562,tlid,203249068,tiger
12200562,county,"Honolulu, HI",tiger
12200562,source,tiger_import_dch_v0.6_20070809,tiger
12200562,reviewed,no,tiger
12200562,separated,no,tiger
12200562,upload_uuid,bulk_upload.pl-fd7bfe10-7a28-44e7-b196-d2b35d899d00,tiger
12200570,highway,service,regular
12200575,highway,residential,regular
12200575,cfcc,A41,tiger
12200575,tlid,203336716,tiger
12200575,county,"Honolulu, HI",tiger
12200575,source,tiger_import_dch_v0.6_20070809,tiger
12200575,reviewed,no,tiger
12200575,separated,no,tiger
12200575,upload_uuid,bulk_upload.pl-fd7bfe10-7a28-44e7-b196-d2b35d899d00,tiger
12200601,highway,residential,regular
12200601,cfcc,A41,tiger
12200601,tlid,203223545,tiger
12200601,county,"Honolulu, HI",tiger
12200601,source,tiger_import_dch_v0.6_20070809,tiger
12200601,reviewed,no,tiger
12200601,separated,no,tiger
12200601,upload_uuid,bulk_upload.pl-fd7bfe10-7a28-44e7-b196-d2b35d899d00,tiger
12200629,highway,service,regular
12200650,highway,service,regular
12200665,access,private,regular
12200665,highway,service,regular
12200665,service,driveway,regular
12200672,access,private,regular
12200672,highway,service,regular
12200672,service,driveway,regular
12200766,oneway,yes,regular
12200766,highway,motorway_link,regular
12200766,cfcc,A63,tiger
12200766,tlid,203231045:203257937:203257938,tiger
12200766,county,"Honolulu, HI",tiger
12200766,source,tiger_import_dch_v0.6_20070809,tiger
12200766,reviewed,no,tiger
12200766,upload_uuid,bulk_upload.pl-fd7bfe10-7a28-44e7-b196-d2b35d899d00,tiger
12200778,bridge,yes,regular
12200778,highway,motorway_link,regular
12200778,layer,1,regular
12200778,oneway,yes,regular
12200778,cfcc,A63,tiger
12200778,county,"Honolulu, HI",tiger
12200778,reviewed,no,tiger
12200792,access,private,regular
12200792,highway,service,regular
12200792,service,driveway,regular
12200814,highway,tertiary,regular
12200814,name,Old Government Road,regular
12200824,highway,residential,regular
12200824,cfcc,A41,tiger
12200824,tlid,203261521,tiger
12200824,county,"Honolulu, HI",tiger
12200824,source,tiger_import_dch_v0.6_20070809,tiger
12200824,reviewed,no,tiger
12200824,separated,no,tiger
12200824,upload_uuid,bulk_upload.pl-fd7bfe10-7a28-44e7-b196-d2b35d899d00,tiger
12200839,highway,residential,regular
12200839,cfcc,A41,tiger
12200839,tlid,203231933,tiger
12200839,county,"Honolulu, HI",tiger
12200839,source,tiger_import_dch_v0.6_20070809,tiger
12200839,reviewed,no,tiger
12200839,separated,no,tiger
12200839,upload_uuid,bulk_upload.pl-fd7bfe10-7a28-44e7-b196-d2b35d899d00,tiger
12200852,highway,residential,regular
12200852,cfcc,A41,tiger
12200852,county,"Honolulu, HI",tiger
12200852,reviewed,no,tiger
12200868,highway,residential,regular
12200868,cfcc,A41,tiger
12200868,tlid,203261064,tiger
12200868,county,"Honolulu, HI",tiger
12200868,source,tiger_import_dch_v0.6_20070809,tiger
12200868,reviewed,no,tiger
12200868,separated,no,tiger
12200868,upload_uuid,bulk_upload.pl-fd7bfe10-7a28-44e7-b196-d2b35d899d00,tiger
12200902,highway,service,regular
12200902,service,parking_aisle,regular
12200951,name,20B,regular
12200951,oneway,yes,regular
12200951,highway,motorway_link,regular
12200951,cfcc,A63,tiger
12200951,county,"Honolulu, HI",tiger
12200951,reviewed,no,tiger
12200976,access,no,regular
12200976,highway,service,regular
12200988,highway,residential,regular
12200988,cfcc,A41,tiger
12200988,tlid,203250629,tiger
12200988,county,"Honolulu, HI",tiger
12200988,source,tiger_import_dch_v0.6_20070809,tiger
12200988,reviewed,no,tiger
12200988,separated,no,tiger
12200988,upload_uuid,bulk_upload.pl-fd7bfe10-7a28-44e7-b196-d2b35d899d00,tiger
12201046,name,Mehani Place,regular
12201046,highway,residential,regular
12201073,name,Nudist Colony Road,regular
12201073,note,"Data from tiger was Fubar, I made sense of it, but not sure if it is right.",regular
12201073,fixme,resurvey,regular
12201073,highway,track,regular
12201073,tracktype,grade3,regular
12201073,tlid,203329958:203329960:203331678:203331697:203331709:203331713,tiger
12201073,county,"Honolulu, HI",tiger
12201073,source,tiger_import_dch_v0.6_20070809,tiger
12201073,name_type,Rd,tiger
12201073,separated,no,tiger
12201073,upload_uuid,bulk_upload.pl-fd7bfe10-7a28-44e7-b196-d2b35d899d00,tiger
12201117,highway,service,regular
12201117,service,parking_aisle,regular
12201129,access,private,regular
12201129,highway,service,regular
12201176,access,private,regular
12201176,highway,service,regular
12201176,service,driveway,regular
12201176,cfcc,A41,tiger
12201176,county,"Honolulu, HI",tiger
12201176,reviewed,no,tiger
12201193,highway,residential,regular
12201193,cfcc,A41,tiger
12201193,tlid,203263429,tiger
12201193,county,"Honolulu, HI",tiger
12201193,source,tiger_import_dch_v0.6_20070809,tiger
12201193,reviewed,no,tiger
12201193,separated,no,tiger
12201193,upload_uuid,bulk_upload.pl-fd7bfe10-7a28-44e7-b196-d2b35d899d00,tiger
12201209,access,private,regular
12201209,highway,service,regular
12201209,service,parking_aisle,regular
12201223,oneway,yes,regular
12201223,highway,trunk_link,regular
12201223,cfcc,A63,tiger
12201223,county,"Honolulu, HI",tiger
12201223,reviewed,no,tiger
12201266,highway,motorway_link,regular
12201266,name,25A,regular
12201266,oneway,yes,regular
12201284,access,private,regular
12201284,highway,service,regular
12201284,service,driveway,regular
12201284,cfcc,A41,tiger
